aa_eleicao;nm_pais;nm_regiao;sg_uf;nm_municipio;ds_tipo_deficiencia;qt_eleitor_apto;qt_eleitor_comp;qt_eleitor_abstencao
2022;Brasil;NORDESTE;AL;CACIMBINHAS;OUTROS;7;2;5
2022;Brasil;NORDESTE;AL;CAJUEIRO;DEFICIÊNCIA AUDITIVA;7;7;0
2022;Brasil;NORDESTE;AL;CAJUEIRO;DEFICIÊNCIA DE LOCOMOÇÃO;13;8;5
2022;Brasil;NORDESTE;AL;CAJUEIRO;DEFICIÊNCIA VISUAL;7;4;3
2022;Brasil;NORDESTE;AL;CAJUEIRO;DIFICULDADE PARA O EXERCÍCIO DO VOTO;2;0;2
2022;Brasil;NORDESTE;AL;CAJUEIRO;OUTROS;23;16;7
2022;Brasil;NORDESTE;AL;CAMPESTRE;DEFICIÊNCIA DE LOCOMOÇÃO;4;1;3
2022;Brasil;NORDESTE;AL;CAMPESTRE;DEFICIÊNCIA VISUAL;4;3;1
2022;Brasil;NORDESTE;AL;CAMPESTRE;OUTROS;3;1;2
2022;Brasil;NORDESTE;AL;CAMPO ALEGRE;DEFICIÊNCIA AUDITIVA;17;11;6
2022;Brasil;NORDESTE;AL;CAMPO ALEGRE;DEFICIÊNCIA DE LOCOMOÇÃO;69;41;28
2022;Brasil;NORDESTE;AL;CAMPO ALEGRE;DEFICIÊNCIA VISUAL;49;34;15
2022;Brasil;NORDESTE;AL;CAMPO ALEGRE;DIFICULDADE PARA O EXERCÍCIO DO VOTO;1;1;0
2022;Brasil;NORDESTE;AL;CAMPO ALEGRE;OUTROS;143;89;54
2022;Brasil;NORDESTE;AL;CAMPO GRANDE;DEFICIÊNCIA AUDITIVA;2;1;1
2022;Brasil;NORDESTE;AL;CAMPO GRANDE;DEFICIÊNCIA DE LOCOMOÇÃO;64;38;26
2022;Brasil;NORDESTE;AL;CAMPO GRANDE;DEFICIÊNCIA VISUAL;21;17;4
2022;Brasil;NORDESTE;AL;CAMPO GRANDE;OUTROS;95;62;33
2022;Brasil;NORDESTE;AL;CANAPI;DEFICIÊNCIA AUDITIVA;10;6;4
2022;Brasil;NORDESTE;AL;CANAPI;DEFICIÊNCIA DE LOCOMOÇÃO;9;6;3
2022;Brasil;NORDESTE;AL;CANAPI;DEFICIÊNCIA VISUAL;10;6;4
2022;Brasil;NORDESTE;AL;CANAPI;OUTROS;48;34;14
2022;Brasil;NORDESTE;AL;CAPELA;DEFICIÊNCIA AUDITIVA;18;16;2
2022;Brasil;NORDESTE;AL;CAPELA;DEFICIÊNCIA DE LOCOMOÇÃO;49;36;13
2022;Brasil;NORDESTE;AL;CAPELA;DEFICIÊNCIA VISUAL;17;10;7
2022;Brasil;NORDESTE;AL;CAPELA;DIFICULDADE PARA O EXERCÍCIO DO VOTO;1;0;1
2022;Brasil;NORDESTE;AL;CAPELA;OUTROS;53;35;18
2022;Brasil;NORDESTE;AL;CARNEIROS;DEFICIÊNCIA AUDITIVA;2;2;0
2022;Brasil;NORDESTE;AL;CARNEIROS;DEFICIÊNCIA DE LOCOMOÇÃO;8;7;1
2022;Brasil;NORDESTE;AL;CARNEIROS;DEFICIÊNCIA VISUAL;4;3;1
2022;Brasil;NORDESTE;AL;CARNEIROS;OUTROS;8;3;5
2022;Brasil;NORDESTE;AL;CHÃ PRETA;DEFICIÊNCIA AUDITIVA;1;1;0
2022;Brasil;NORDESTE;AL;CHÃ PRETA;DEFICIÊNCIA DE LOCOMOÇÃO;10;8;2
2022;Brasil;NORDESTE;AL;CHÃ PRETA;DEFICIÊNCIA VISUAL;15;11;4
2022;Brasil;NORDESTE;AL;CHÃ PRETA;DIFICULDADE PARA O EXERCÍCIO DO VOTO;4;0;4
2022;Brasil;NORDESTE;AL;CHÃ PRETA;OUTROS;19;13;6
2022;Brasil;NORDESTE;AL;COITÉ DO NÓIA;DEFICIÊNCIA AUDITIVA;8;8;0
2022;Brasil;NORDESTE;AL;COITÉ DO NÓIA;DEFICIÊNCIA DE LOCOMOÇÃO;3;3;0
2022;Brasil;NORDESTE;AL;COITÉ DO NÓIA;DEFICIÊNCIA VISUAL;3;3;0
2022;Brasil;NORDESTE;AL;COITÉ DO NÓIA;OUTROS;19;14;5
2022;Brasil;NORDESTE;AL;COLÔNIA LEOPOLDINA;DEFICIÊNCIA AUDITIVA;4;4;0
2022;Brasil;NORDESTE;AL;COLÔNIA LEOPOLDINA;DEFICIÊNCIA DE LOCOMOÇÃO;52;36;16
2022;Brasil;NORDESTE;AL;COLÔNIA LEOPOLDINA;DEFICIÊNCIA VISUAL;21;12;9
2022;Brasil;NORDESTE;AL;COLÔNIA LEOPOLDINA;OUTROS;128;84;44
2022;Brasil;NORDESTE;AL;COQUEIRO SECO;DEFICIÊNCIA AUDITIVA;3;1;2
2022;Brasil;NORDESTE;AL;COQUEIRO SECO;DEFICIÊNCIA DE LOCOMOÇÃO;8;7;1
2022;Brasil;NORDESTE;AL;COQUEIRO SECO;DEFICIÊNCIA VISUAL;6;4;2
2022;Brasil;NORDESTE;AL;COQUEIRO SECO;OUTROS;9;7;2
2022;Brasil;NORDESTE;AL;CORURIPE;DEFICIÊNCIA AUDITIVA;7;3;4
2022;Brasil;NORDESTE;AL;CORURIPE;DEFICIÊNCIA DE LOCOMOÇÃO;42;22;20
2022;Brasil;NORDESTE;AL;CORURIPE;DEFICIÊNCIA VISUAL;26;17;9
2022;Brasil;NORDESTE;AL;CORURIPE;DIFICULDADE PARA O EXERCÍCIO DO VOTO;8;0;8
2022;Brasil;NORDESTE;AL;CORURIPE;OUTROS;81;50;31
2022;Brasil;NORDESTE;AL;CRAÍBAS;DEFICIÊNCIA AUDITIVA;3;3;0
2022;Brasil;NORDESTE;AL;CRAÍBAS;DEFICIÊNCIA DE LOCOMOÇÃO;8;5;3
2022;Brasil;NORDESTE;AL;CRAÍBAS;DEFICIÊNCIA VISUAL;4;4;0
2022;Brasil;NORDESTE;AL;CRAÍBAS;OUTROS;29;21;8
2022;Brasil;NORDESTE;AL;DELMIRO GOUVEIA;DEFICIÊNCIA AUDITIVA;4;3;1
2022;Brasil;NORDESTE;AL;DELMIRO GOUVEIA;DEFICIÊNCIA DE LOCOMOÇÃO;25;16;9
2022;Brasil;NORDESTE;AL;DELMIRO GOUVEIA;DEFICIÊNCIA VISUAL;24;14;10
2022;Brasil;NORDESTE;AL;DELMIRO GOUVEIA;DIFICULDADE PARA O EXERCÍCIO DO VOTO;2;0;2
2022;Brasil;NORDESTE;AL;DELMIRO GOUVEIA;OUTROS;50;32;18
2022;Brasil;NORDESTE;AL;DOIS RIACHOS;DEFICIÊNCIA AUDITIVA;4;2;2
2022;Brasil;NORDESTE;AL;DOIS RIACHOS;DEFICIÊNCIA DE LOCOMOÇÃO;3;1;2
2022;Brasil;NORDESTE;AL;DOIS RIACHOS;DEFICIÊNCIA VISUAL;2;2;0
2022;Brasil;NORDESTE;AL;DOIS RIACHOS;OUTROS;7;4;3
2022;Brasil;NORDESTE;AL;ESTRELA DE ALAGOAS;DEFICIÊNCIA AUDITIVA;1;1;0
2022;Brasil;NORDESTE;AL;ESTRELA DE ALAGOAS;DEFICIÊNCIA DE LOCOMOÇÃO;10;4;6
2022;Brasil;NORDESTE;AL;ESTRELA DE ALAGOAS;DEFICIÊNCIA VISUAL;10;4;6
2022;Brasil;NORDESTE;AL;ESTRELA DE ALAGOAS;OUTROS;24;13;11
2022;Brasil;NORDESTE;AL;FEIRA GRANDE;DEFICIÊNCIA AUDITIVA;8;6;2
2022;Brasil;NORDESTE;AL;FEIRA GRANDE;DEFICIÊNCIA DE LOCOMOÇÃO;6;4;2
2022;Brasil;NORDESTE;AL;FEIRA GRANDE;DEFICIÊNCIA VISUAL;21;9;12
2022;Brasil;NORDESTE;AL;FEIRA GRANDE;OUTROS;42;30;12
2022;Brasil;NORDESTE;AL;FELIZ DESERTO;DEFICIÊNCIA AUDITIVA;1;1;0
2022;Brasil;NORDESTE;AL;FELIZ DESERTO;DEFICIÊNCIA DE LOCOMOÇÃO;1;1;0
2022;Brasil;NORDESTE;AL;FELIZ DESERTO;DEFICIÊNCIA VISUAL;2;1;1
2022;Brasil;NORDESTE;AL;FELIZ DESERTO;OUTROS;4;2;2
