cd_municipio;nm_municipio;nr_turno;qt_secoes_agregadas;qt_aptos_tot;qt_comparecimento;qt_votos_nom_validos;qt_votos_brancos;qt_total_vt_leg_validos;qt_total_votos_anulados;qt_votos_validos;qt_votos;qt_total_votos_nulos
49018;NOVA RESENDE;1;0;12885;10438;9828;278;0;0;9828;10438;332
49034;NOVA SERRANA;1;3;59483;48470;46543;964;0;0;46543;48470;963
49050;NOVO CRUZEIRO;1;3;24848;15073;13987;191;0;0;13987;15073;895
49077;OLARIA;1;6;2265;1785;1704;26;0;0;1704;1785;55
49093;OLÍMPIO NORONHA;1;0;2662;2074;1976;29;0;0;1976;2074;69
49115;OLIVEIRA;1;0;33361;26738;25163;653;0;0;25163;26738;922
49131;OLIVEIRA FORTES;1;8;2422;2011;1939;26;0;0;1939;2011;46
49158;ONÇA DE PITANGUI;1;2;3313;2651;2577;31;0;0;2577;2651;43
49174;OURO BRANCO;1;2;31447;25576;24310;498;0;0;24310;25576;768
49190;OURO FINO;1;0;25223;19320;18351;434;0;0;18351;19320;535
49212;OURO PRETO;1;12;63593;51811;48979;1008;0;0;48979;51811;1824
49239;OURO VERDE DE MINAS;1;0;7037;5035;4795;61;0;0;4795;5035;179
49255;PADRE PARAÍSO;1;5;14155;9330;8781;122;0;0;8781;9330;427
49271;PAINEIRAS;1;3;4223;3259;3124;45;0;0;3124;3259;90
49298;PAINS;1;1;6811;5457;5242;80;0;0;5242;5457;135
49310;PAIVA;1;0;1754;1397;1335;23;0;0;1335;1397;39
49336;PALMA;1;0;5352;4162;4009;56;0;0;4009;4162;97
49352;FRONTEIRA DOS VALES;1;0;3943;3050;2854;37;0;0;2854;3050;159
49379;PAPAGAIOS;1;0;11460;9613;9193;178;0;0;9193;9613;242
49395;PARACATU;1;0;66565;51037;48794;1071;0;0;48794;51037;1172
49417;PARÁ DE MINAS;1;29;65994;52760;49411;1211;0;0;49411;52760;2138
49433;PARAGUAÇU;1;0;16917;13171;12601;266;0;0;12601;13171;304
49450;PARAISÓPOLIS;1;0;16432;12855;12162;262;0;0;12162;12855;431
49476;PARAOPEBA;1;0;20124;16361;15491;313;0;0;15491;16361;557
49492;PASSABÉM;1;0;1815;1428;1354;15;0;0;1354;1428;59
49514;PASSA QUATRO;1;0;13348;10635;10078;223;0;0;10078;10635;334
49530;PASSA TEMPO;1;8;7633;5845;5360;181;0;0;5360;5845;304
49557;PASSA VINTE;1;2;2224;1907;1832;19;0;0;1832;1907;56
49573;PASSOS;1;34;80615;62141;59147;1215;0;0;59147;62141;1779
49590;PATOS DE MINAS;1;46;114390;88200;84132;1764;0;0;84132;88200;2304
49611;PATROCÍNIO;1;2;67715;52944;50188;1280;0;0;50188;52944;1476
49638;PATROCÍNIO DO MURIAÉ;1;0;5176;4137;3957;47;0;0;3957;4137;133
49654;PAULA CÂNDIDO;1;4;7745;6062;5717;103;0;0;5717;6062;242
49670;PAULISTAS;1;0;4306;2996;2823;36;0;0;2823;2996;137
49697;PAVÃO;1;11;6220;4491;4210;33;0;0;4210;4491;248
49719;PEÇANHA;1;1;13549;9042;8493;121;0;0;8493;9042;428
49735;PEDRA AZUL;1;1;18536;12268;11448;145;0;0;11448;12268;675
49751;PEDRA DO ANTA;1;0;3263;2763;2584;49;0;0;2584;2763;130
49778;PEDRA DO INDAIÁ;1;1;3628;2942;2769;72;0;0;2769;2942;101
49794;PEDRA DOURADA;1;0;2738;2263;2164;17;0;0;2164;2263;82
49816;PEDRALVA;1;1;9502;7420;6984;185;0;0;6984;7420;251
49832;PEDRINÓPOLIS;1;0;3146;2523;2432;37;0;0;2432;2523;54
49859;PEDRO LEOPOLDO;1;7;48402;39529;37344;836;0;0;37344;39529;1349
49875;PEDRO TEIXEIRA;1;3;2323;1993;1931;21;0;0;1931;1993;41
49891;PEQUERI;1;0;3205;2537;2438;32;0;0;2438;2537;67
49913;PEQUI;1;0;3660;2995;2879;46;0;0;2879;2995;70
49930;PERDIGÃO;1;1;8062;6570;6301;126;0;0;6301;6570;143
49956;PERDIZES;1;2;13552;10055;9715;143;0;0;9715;10055;197
49972;PERDÕES;1;0;17256;13679;12812;329;0;0;12812;13679;538
49999;PESCADOR;1;0;3577;2380;2254;27;0;0;2254;2380;99
50016;PIAU;1;0;3031;2518;2408;42;0;0;2408;2518;68
50032;PIEDADE DE PONTE NOVA;1;0;3833;2951;2786;41;0;0;2786;2951;124
50059;PIEDADE DO RIO GRANDE;1;0;4085;3090;2857;64;0;0;2857;3090;169
50075;PIEDADE DOS GERAIS;1;2;5040;3821;3567;134;0;0;3567;3821;120
50091;PIMENTA;1;1;6967;5569;5207;182;0;0;5207;5569;180
50113;PIRACEMA;1;4;5582;4884;4525;164;0;0;4525;4884;195
50130;PIRAJUBA;1;0;4376;3380;3240;50;0;0;3240;3380;90
50156;PIRANGA;1;5;13867;9763;8992;260;0;0;8992;9763;511
50172;PIRANGUÇU;1;3;4649;3701;3552;65;0;0;3552;3701;84
50199;PIRANGUINHO;1;0;7144;5763;5466;119;0;0;5466;5763;178
50210;PIRAPETINGA;1;6;9825;7984;7688;85;0;0;7688;7984;211
50237;PIRAPORA;1;4;41385;31129;29388;606;0;0;29388;31129;1135
50253;PIRAÚBA;1;0;9626;7620;7243;135;0;0;7243;7620;242
50270;PITANGUI;1;0;21172;17394;16670;306;0;0;16670;17394;418
50296;PIUMHI;1;0;25611;19453;18573;388;0;0;18573;19453;492
50318;PLANURA;1;1;8307;6169;5909;99;0;0;5909;6169;161
50334;POÇO FUNDO;1;0;13003;10417;9900;260;0;0;9900;10417;257
50350;POÇOS DE CALDAS;1;37;122534;92130;88045;1455;0;0;88045;92130;2630
50377;POCRANE;1;3;7445;5606;5371;58;0;0;5371;5606;177
50393;POMPÉU;1;0;24181;18467;17376;366;0;0;17376;18467;725
50415;PONTE NOVA;1;13;44716;36017;34505;565;0;0;34505;36017;947
50431;PORTEIRINHA;1;8;31299;23897;22596;343;0;0;22596;23897;958
50458;PORTO FIRME;1;1;9116;7041;6616;133;0;0;6616;7041;292
50474;POTÉ;1;5;12528;8481;7856;112;0;0;7856;8481;513
50490;POUSO ALEGRE;1;3;109143;87468;83105;1672;0;0;83105;87468;2691
50512;POUSO ALTO;1;0;5521;4501;4296;98;0;0;4296;4501;107
50539;PRADOS;1;2;7313;6175;5684;176;0;0;5684;6175;315
50555;PRATA;1;5;22201;16178;15744;172;0;0;15744;16178;262
50571;PRATÁPOLIS;1;2;7472;5787;5448;116;0;0;5448;5787;223
50598;PRATINHA;1;0;2992;2352;2239;56;0;0;2239;2352;57
50610;PRESIDENTE BERNARDES;1;1;5668;4204;3973;60;0;0;3973;4204;171
50636;PRESIDENTE JUSCELINO;1;3;4107;2696;2567;28;0;0;2567;2696;101
50652;PRESIDENTE KUBITSCHEK;1;4;2916;2289;2170;17;0;0;2170;2289;102
50679;PRESIDENTE OLEGÁRIO;1;4;16419;11975;11390;205;0;0;11390;11975;380
50695;ALTO JEQUITIBÁ;1;5;6983;5642;5421;73;0;0;5421;5642;148
50717;PRUDENTE DE MORAIS;1;0;8128;6900;6359;197;0;0;6359;6900;344
50733;QUARTEL GERAL;1;4;3292;2731;2605;50;0;0;2605;2731;76
50750;QUELUZITO;1;2;2525;2105;2013;30;0;0;2013;2105;62
50776;RAPOSOS;1;2;13324;11226;10574;242;0;0;10574;11226;410
50792;RAUL SOARES;1;0;18113;13800;13110;210;0;0;13110;13800;480
50814;RECREIO;1;10;7910;6108;5863;85;0;0;5863;6108;160
50830;RESENDE COSTA;1;3;9364;7724;7246;170;0;0;7246;7724;308
50857;RESPLENDOR;1;4;13071;9066;8786;102;0;0;8786;9066;178
50873;RESSAQUINHA;1;4;4246;3620;3427;61;0;0;3427;3620;132
50890;RIACHO DOS MACHADOS;1;4;7831;5674;5393;62;0;0;5393;5674;219
50911;RIBEIRÃO DAS NEVES;1;8;224164;176094;165417;4213;0;0;165417;176094;6464
50938;RIBEIRÃO VERMELHO;1;0;3308;2742;2598;48;0;0;2598;2742;96
50954;RIO ACIMA;1;0;8553;7071;6703;144;0;0;6703;7071;224
50970;RIO CASCA;1;0;11103;7994;7533;149;0;0;7533;7994;312
50997;RIO DOCE;1;1;2474;2030;1919;36;0;0;1919;2030;75
51012;RIO DO PRADO;1;0;4251;3012;2836;34;0;0;2836;3012;142
